"";"x"
"JUND";18
"TNFAIP3";18
"BTG2";18
"CYCS";18
"NR4A1";18
"RP5-1073O3.7";18
"CHMP1B";18
"MIR24-2";18
"AC016629.8";18
"ANKRD28";18
"NFKBID";18
"ARL5B";18
"PPP1R15A";18
"EIF4A3";18
"YPEL5";18
"METTL15";18
"IER5";18
"NFKBIZ";18
"ZFAND5";18
"BCAS2";18
"DNAJA1";18
"ARL4A";18
"KDM6B";18
"TSPYL2";18
"ANKRD37";18
"NEU1";18
"TUBA1A";18
"DDX3X";18
"UBE2S";18
"CSRNP1";18
"SELK";18
"HEXIM1";18
"DNAAF2";18
"SPTY2D1";18
"MYLIP";18
"RBBP6";18
"PPP1R15B";18
"INTS6";18
"RPL22L1";18
"CHD1";18
"GOLGB1";18
"AREG";19
"IER2";19
"NFKBIA";19
"MAFF";19
"GADD45B";19
"KRT86";19
"KRT81";19
"ICAM1";19
"RGS16";19
"DDIT4";19
"DUSP6";19
"MAP3K8";19
"PFKFB3";19
"NR4A3";19
"RHOB";19
"SERTAD1";19
"TIPARP";19
"MMP9";19
"BHLHE40";19
"CKS2";19
"CD81";19
"SKIL";19
"TUBB4B";19
"IFRD1";19
"SOCS1";19
"ITGB1";19
"SNHG15";19
"AHI1";19
"SRGAP3";19
"EIF5A";19
"HIST2H2AA3";19
"ELOVL6";19
"SEC14L1";19
"PPP3CA";19
"DFNB31";19
"TSPAN4";19
"TCF4";19
"ELL2";19
"NFIL3";19
"H2AFX";19
"TUBA1B";19
"VIMP";19
"HDAC9";19
"SPAG1";19
"HOTAIRM1";19
"MPG";19
"RRBP1";19
"HSP90AB1";19
"ZNF667-AS1";19
"ZNF296";19
"FAM26F";19
"SIGLEC7";19
"SPG20";19
"BST2";19
"GALC";19
"UNC93B1";19
"RNF168";19
"UBB";19
"NXT1";19
"HLA-DRA";20
"HLA-DRB1";20
"CD74";20
"HLA-DQA1";20
"HLA-DRB5";20
"HLA-DPB1";20
"HLA-DQB1";20
"HLA-DPA1";20
"HLA-DMA";20
"HLA-DQA2";20
"CXCL1";21
"HSPA1A";21
"HSPA1B";21
"DNAJB1";21
"PTGDS";21
"HSP90AA1";21
"XIST";21
"H1FX";21
"ADAMDEC1";21
"CALD1";21
"IER5L";21
"HSPH1";21
"TAGLN";21
"CCL11";21
"LUM";21
"COL1A1";21
"MYL9";21
"IGFBP5";21
"TMEM238";21
"RARRES2";21
"HIST2H2AC";21
"GNG11";21
"COL1A2";21
"MBD2";21
"ADIRF";21
"TMEM176B";21
"EXOSC6";21
"NNMT";21
"FBLN1";21
"VEGFB";21
"C8orf4";21
"BOD1L1";21
"DCN";21
"C1S";21
"CD69";22
"CITED2";22
"TSC22D3";22
"ANXA1";22
"RGS2";22
"DUSP1";22
"KLF6";22
"AC092580.4";22
"CXCR4";22
"ZFP36L2";22
"C1orf56";22
"MYADM";22
"CEBPB";22
"RGPD5";22
"HERPUD1";22
"HNRNPH1";22
"RASGEF1B";22
"PTGER4";22
